Date : 2025-08-23 17:29:33
Directory : f:\Project\RBlog\RBlog_F
Total : 71 files,  8256 codes, 211 comments, 568 blanks, all 9035 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |      4,472 |          0 |          7 |      4,479 |
| PostCSS            |         19 |      2,080 |        132 |        307 |      2,519 |
| vue                |         20 |        852 |         20 |        111 |        983 |
| TypeScript         |         24 |        808 |         59 |        127 |        994 |
| Markdown           |          1 |         20 |          0 |         14 |         34 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| JSON with Comments |          1 |         11 |          0 |          1 |         12 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                              |         71 |      8,256 |        211 |        568 |      9,035 |
| . (Files)                                                                                      |         12 |      4,575 |         15 |         32 |      4,622 |
| src                                                                                            |         59 |      3,681 |        196 |        536 |      4,413 |
| src (Files)                                                                                    |          2 |         38 |          0 |         10 |         48 |
| src\components                                                                                 |         12 |        637 |         14 |         75 |        726 |
| src\components\ArticleCard                                                                     |          1 |         40 |          0 |          4 |         44 |
| src\components\CatalogueCard                                                                   |          1 |        136 |          0 |         17 |        153 |
| src\components\CategoryCard                                                                    |          1 |         25 |          2 |          4 |         31 |
| src\components\FeelingCard                                                                     |          1 |        131 |          9 |         11 |        151 |
| src\components\Footer                                                                          |          1 |         34 |          0 |          3 |         37 |
| src\components\GoTop                                                                           |          1 |         18 |          0 |          4 |         22 |
| src\components\HomeScrollPage                                                                  |          1 |         28 |          1 |          3 |         32 |
| src\components\InfoCard                                                                        |          1 |         24 |          0 |          3 |         27 |
| src\components\LoadMore                                                                        |          1 |         28 |          0 |          4 |         32 |
| src\components\ReadScrollPage                                                                  |          1 |         97 |          0 |         15 |        112 |
| src\components\SideCard                                                                        |          1 |         32 |          0 |          3 |         35 |
| src\components\TopNavigateBar                                                                  |          1 |         44 |          2 |          4 |         50 |
| src\hooks                                                                                      |         17 |        649 |         39 |        103 |        791 |
| src\hooks\useArticleCard                                                                       |          1 |         30 |          0 |          4 |         34 |
| src\hooks\useArticlePage                                                                       |          3 |         69 |          0 |         14 |         83 |
| src\hooks\useArticlePage (Files)                                                               |          1 |         15 |          0 |          4 |         19 |
| src\hooks\useArticlePage\useCategoryAll                                                        |          1 |         16 |          0 |          4 |         20 |
| src\hooks\useArticlePage\useCategorySignal                                                     |          1 |         38 |          0 |          6 |         44 |
| src\hooks\useCategoryCard                                                                      |          1 |          9 |          0 |          2 |         11 |
| src\hooks\useFeelingCard                                                                       |          1 |        139 |         18 |         21 |        178 |
| src\hooks\useFeelingPage                                                                       |          2 |         53 |          0 |         10 |         63 |
| src\hooks\useFeelingPage (Files)                                                               |          1 |         15 |          0 |          4 |         19 |
| src\hooks\useFeelingPage\useFeelingScrollPage                                                  |          1 |         38 |          0 |          6 |         44 |
| src\hooks\useFooter                                                                            |          1 |         87 |          3 |          1 |         91 |
| src\hooks\useGoTop                                                                             |          1 |         24 |          0 |          4 |         28 |
| src\hooks\useHomePage                                                                          |          1 |         23 |          1 |          4 |         28 |
| src\hooks\useHomeScrollPage                                                                    |          1 |         54 |          5 |         14 |         73 |
| src\hooks\useInfoCard                                                                          |          1 |         21 |          0 |          5 |         26 |
| src\hooks\useLoadMore                                                                          |          1 |          0 |          0 |          1 |          1 |
